Prey;WT_NC;WT_S;WT_FCS;G12_NC;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
A0A0A0MTL5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0A0MTL6;0;0;0;0;0;0;0;0;0;0;0;0
A0A0A6YYL4;0;0;0;0;0;0;0;0;0;0;0;0
A0A0B4J1V9;0;0;0;0;0;0;0;0;0;0;0;0
A0A0B4J1W3;0;0;0;0;0;0;0;0;0;0;0;0
Q5W0H4;0;0;0;0;0;0;0;0;0;0;0;0
A0A0B4J2G4;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DFM7;0;0;0;0;0;0;0;0;0;0;0;0
A8MXL6;0;0;0;0;0;0;0;0;0;0;0;0
C9J9K3;0;0;0;0;0;0;0;0;0;0;0;0
Q9NYB9;1;1;1;1;1;1;1;1;1;1;1;1
E7ENN3;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DG49;1;1;1;0;1;0;1;1;1;1;1;0
A0A0C4DG54;0;0;0;0;0;0;0;0;0;0;0;0
F5GYV5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DG89;0;0;0;0;0;0;0;0;0;0;0;0
P20810-9;0;0;0;0;0;0;0;1;0;0;0;0
A0A0C4DGE4;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGG1;0;0;0;0;0;0;0;0;0;0;0;0
F5GWX5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGH3;0;0;0;0;0;0;0;0;0;0;0;0
O75390;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGP2;0;0;0;0;0;0;0;0;0;0;0;0
J3KRS1;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGS1;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGS5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DGS9;0;0;1;0;0;1;1;1;1;1;1;0
A0A0C4DGX4;0;0;0;0;0;0;0;0;0;0;0;0
A0A0D9SEJ5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0D9SG12;0;0;0;0;0;0;0;0;0;0;0;0
A0A0D9SFL3;0;0;0;0;0;0;0;0;0;0;0;0
A0A0X1KG75;0;0;0;0;0;0;0;0;0;0;0;0
A0A1B0GWF2;0;1;0;0;1;0;0;0;0;0;0;0
A0A0D9SGE8;0;0;0;0;0;0;0;0;0;0;0;0
A0A0D9SGJ6;0;0;0;0;0;0;0;0;0;0;0;0
A0A140T8Z0;0;1;0;0;1;1;0;1;1;0;1;1
A0A0G2JHC2;0;0;0;0;0;0;0;0;0;0;0;0
A0A0G2JIW1;0;0;0;0;0;0;0;1;0;0;0;0
A0A0G2JLR5;0;0;0;0;0;0;0;0;0;0;0;0
A0A0G2JPP5;1;1;1;1;1;1;1;1;1;1;1;1
A0A0J9YW40;0;0;0;0;0;0;0;0;0;0;0;0
P43243;0;0;0;0;0;0;0;0;0;0;0;0
A0A0S2Z5D0;0;0;0;0;0;0;0;0;0;0;0;0
A0A0U1RQK7;0;0;0;0;0;0;0;0;0;0;0;0
Q13464;0;0;0;0;0;0;0;0;0;0;0;0
A0A0U1RQW6;0;0;0;0;0;0;0;0;0;0;0;0
A0A0U1RR27;0;0;0;0;0;0;0;0;0;0;0;0
A0A0U1RRM6;1;1;1;0;1;0;0;1;0;1;1;0
A0A140LJL2;0;0;0;0;0;0;0;0;0;0;0;0
A0A140T8Y2;0;0;0;0;0;0;0;0;0;0;0;0
O43301;0;0;0;0;0;0;0;0;0;0;0;0
A0A1B0GWJ0;0;0;0;0;0;0;0;0;0;0;0;0
A0A1B0GTL5;0;0;0;0;0;0;0;0;0;0;0;0
