PreyGene;WT_NC;WT_S;WT_FCS;G12_NC ;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
RPSA;0;0;0;0;0;0;0;0;0;0;0;0
ABI2;1;1;1;1;1;1;1;1;1;1;1;1
SYNE1;0;0;0;0;0;0;0;0;0;0;0;0
PVR;1;1;1;0;1;0;1;1;1;1;1;0
RABGAP1L;0;0;0;0;0;0;0;0;0;0;0;0
ARL6IP4;0;0;0;0;0;0;0;0;0;0;0;0
DDX46;0;0;0;0;0;0;0;0;0;0;0;0
CAST;0;0;0;0;0;0;0;1;0;0;0;0
STX3;0;0;0;0;0;0;0;0;0;0;0;0
PACSIN3;0;0;0;0;0;0;0;0;0;0;0;0
CHD4;0;0;0;0;0;0;0;0;0;0;0;0
NUMBL;0;0;0;0;0;0;0;0;0;0;0;0
CS;0;0;0;0;0;0;0;0;0;0;0;0
KIF18B;0;0;0;0;0;0;0;0;0;0;0;0
DHRS7B;0;0;0;0;0;0;0;0;0;0;0;0
DDOST;0;0;0;0;0;0;0;0;0;0;0;0
GOLGA2;0;0;0;0;0;0;0;0;0;0;0;0
CEPT1;0;0;1;0;0;1;1;1;1;1;1;0
CUL1;0;0;0;0;0;0;0;0;0;0;0;0
FAM120B;0;0;0;0;0;0;0;0;0;0;0;0
DDX3X;0;0;0;0;0;0;0;0;0;0;0;0
EWSR1;0;0;0;0;0;0;0;0;0;0;0;0
COBLL1;0;0;0;0;0;0;0;0;0;0;0;0
STXBP1;0;1;0;0;1;0;0;0;0;0;0;0
PHF6;0;0;0;0;0;0;0;0;0;0;0;0
SYNJ1;0;0;0;0;0;0;0;0;0;0;0;0
DIAPH1;0;1;0;0;1;1;0;1;1;0;1;1
PPP1R18;0;0;0;0;0;0;0;0;0;0;0;0
HSPA1B;0;0;0;0;0;0;0;1;0;0;0;0
RASSF7;0;0;0;0;0;0;0;0;0;0;0;0
SCRIB;1;1;1;1;1;1;1;1;1;1;1;1
TMEM132E;0;0;0;0;0;0;0;0;0;0;0;0
MATR3;0;0;0;0;0;0;0;0;0;0;0;0
CLN6;0;0;0;0;0;0;0;0;0;0;0;0
EIF4G3;0;0;0;0;0;0;0;0;0;0;0;0
ROCK1;0;0;0;0;0;0;0;0;0;0;0;0
DIP2C;0;0;0;0;0;0;0;0;0;0;0;0
DENND4A;0;0;0;0;0;0;0;0;0;0;0;0
ENAH;1;1;1;0;1;0;0;1;0;1;1;0
DOS;0;0;0;0;0;0;0;0;0;0;0;0
GNL1;0;0;0;0;0;0;0;0;0;0;0;0
HSPA12A;0;0;0;0;0;0;0;0;0;0;0;0
ADSL;0;0;0;0;0;0;0;0;0;0;0;0
RAB11FIP5;0;0;0;0;0;0;0;0;0;0;0;0
PXN;0;0;0;0;0;0;0;0;0;0;0;0
KIAA1279;0;0;0;0;0;0;0;0;0;0;0;0
DPYSL2;1;1;1;1;1;1;1;1;1;1;1;1
KIAA1598;0;1;0;0;0;0;0;1;1;1;1;1
MARVELD2;0;1;0;0;1;0;0;0;0;0;1;0
ILVBL;0;0;0;0;0;0;0;0;0;0;0;0
C1orf226;0;0;0;0;0;0;0;0;0;0;0;0
AAR2;0;0;0;0;0;0;0;0;0;0;0;0
HLA-C;0;0;0;0;0;0;0;0;0;0;0;0
MPG;0;0;0;0;0;0;0;0;0;0;0;0
VWA8;0;0;0;0;0;0;0;0;0;0;0;0
WDR91;0;0;0;0;0;0;0;0;0;0;0;0
CNOT1;1;1;1;1;1;1;1;1;1;1;1;1
C5orf51;0;0;0;0;0;0;0;0;0;0;0;0
HCFC1;0;0;0;0;0;0;0;1;1;0;1;1
NUDT5;0;0;0;0;0;0;0;0;0;0;0;0
WBP2;0;0;0;0;0;0;0;0;0;0;0;0
HN1L;1;1;1;0;1;1;0;1;0;1;1;1
YIF1A;0;0;0;0;0;0;0;0;0;0;0;0
DOCK11;0;0;0;0;0;0;0;0;0;0;0;0
CCDC85C;0;0;0;0;0;0;0;0;0;0;0;0
CD81;0;1;0;1;0;0;0;1;1;0;1;0
OBSL1;0;0;0;0;0;0;0;0;0;0;0;0
TP53BP1;0;0;0;0;0;0;0;0;0;0;0;0
PIP5K1A;1;1;1;0;1;0;0;1;1;1;1;0
BTBD11;0;0;0;0;0;0;0;0;0;0;0;0
FAM127A;0;0;0;0;0;0;0;0;0;0;0;0
MLLT4;0;1;0;0;0;0;0;0;0;0;0;0
FAM171A2;0;0;0;0;0;0;0;0;0;0;0;0
EIF3L;0;0;1;1;0;0;0;0;0;0;0;0
CPNE1;0;0;0;0;0;0;0;0;0;0;0;0
ARCN1;0;0;0;0;0;0;0;0;0;0;0;0
CYB5R3;0;0;0;0;0;0;0;0;0;0;0;0
PSMD10;0;0;0;0;0;0;0;0;0;0;0;0
EPHB2;0;0;0;0;0;0;0;0;0;0;0;0
NRD1;0;0;0;0;0;0;0;0;0;0;0;0
ADGRL2;1;1;1;0;1;0;0;1;1;1;1;1
HNRNPC;0;0;0;0;0;0;0;0;0;0;0;0
MARK1;0;0;0;0;0;0;0;0;0;0;0;0
COPS2;0;0;0;0;0;0;0;0;0;0;0;0
ECE1;0;0;0;0;0;0;0;0;0;0;0;0
